,start,stop,strand,gene_name,length,operon,cog
b4500,2329797,2334402,-,yfaS,4605,yfaS,No COG Annotation
b2229,2334335,2334959,-,yfaT,624,yfaATS_1S_2QP,Function unknown
b2230,2334955,2336644,-,yfaA,1689,yfaATS_1S_2QP,Function unknown
b2231,2336792,2339420,-,gyrA,2628,gyrA,"Replication, recombination and repair"
b2232,2339566,2340289,+,ubiG,723,ubiG,Coenzyme transport and metabolism
b2233,2340416,2344169,-,yfaL,3753,yfaL,Cell wall/membrane/envelope biogenesis
b2234,2344864,2347150,+,nrdA,2286,nrdAB-yfaE,Nucleotide transport and metabolism
b2235,2347383,2348514,+,nrdB,1131,nrdAB-yfaE,Nucleotide transport and metabolism
b2236,2348513,2348768,+,yfaE,255,nrdAB-yfaE,Energy production and conversion
b2237,2348821,2349472,-,inaA,651,inaA,Signal transduction mechanisms
b2238,2349650,2349893,+,yfaH,243,yfaH,No COG Annotation
b2239,2349934,2351011,-,glpQ,1077,glpTQ,Energy production and conversion
b2240,2351015,2352374,-,glpT,1359,glpTQ,Carbohydrate transport and metabolism
b2241,2352646,2354275,+,glpA,1629,glpABC,Energy production and conversion
b2242,2354264,2355524,+,glpB,1260,glpABC,Amino acid transport and metabolism
b2243,2355520,2356711,+,glpC,1191,glpABC,Energy production and conversion
b2244,2356903,2357803,+,yfaD,900,rpnE-ypaA,Function unknown
b4543,2357803,2358001,+,ypaA,198,rpnE-ypaA,Function unknown
b2245,2358041,2358845,-,rhmA,804,yfaX-rhmD-yfaVU,Carbohydrate transport and metabolism
b2246,2358862,2360152,-,rhmT,1290,yfaX-rhmD-yfaVU,Carbohydrate transport and metabolism
b2247,2360208,2361414,-,rhmD,1206,yfaX-rhmD-yfaVU,Cell wall/membrane/envelope biogenesis
b2248,2361428,2362211,-,rhmR,783,yfaX-rhmD-yfaVU,Transcription
b2249,2362430,2363633,-,yfaY,1203,yfaY,Coenzyme transport and metabolism
b2250,2363732,2364275,-,yfaZ,543,yfaZ,Function unknown
b2251,2364553,2364979,+,nudI,426,nudI,"Replication, recombination and repair"
b2252,2365017,2365620,-,ais,603,ais,Signal transduction mechanisms
b2253,2365927,2367067,+,arnB,1140,arnBCADTEF,Amino acid transport and metabolism
b2254,2367070,2368039,+,arnC,969,arnBCADTEF,Cell wall/membrane/envelope biogenesis
b2255,2368038,2370021,+,arnA,1983,arnBCADTEF,"Translation, ribosomal structure and biogenesis"
b2256,2370017,2370908,+,arnD,891,arnBCADTEF,Carbohydrate transport and metabolism
b2257,2370907,2372560,+,arnT,1653,arnBCADTEF,Cell wall/membrane/envelope biogenesis
b4544,2372556,2372892,+,arnE,336,arnBCADTEF,Amino acid transport and metabolism
b2258,2372891,2373278,+,arnF,387,arnBCADTEF,Amino acid transport and metabolism
b2259,2373271,2373538,-,pmrD,267,pmrD,Signal transduction mechanisms
b2260,2373647,2375003,-,menE,1356,menFDHBCE,Lipid transport and metabolism
b2261,2374999,2375962,-,menC,963,menFDHBCE,Coenzyme transport and metabolism
b2262,2375961,2376819,-,menB,858,menFDHBCE,Coenzyme transport and metabolism
b2263,2376833,2377592,-,menH,759,menFDHBCE,Function unknown
b2264,2377588,2379259,-,menD,1671,menFDHBCE,Coenzyme transport and metabolism
b2265,2379347,2380643,-,menF,1296,menFDHBCE,Coenzyme transport and metabolism
b2266,2380721,2381027,-,elaB,306,elaB,Function unknown
b2267,2381081,2381543,-,elaA,462,elaA,Function unknown
b2268,2381607,2382525,+,rbn,918,rbn,Function unknown
b2269,2382712,2383924,+,elaD,1212,elaD,"Posttranslational modification, protein turnover, chaperones"
b2270,2383994,2385722,-,yfbK,1728,yfbK,Function unknown
b2271,2385859,2386831,+,yfbL,972,yfbL,Function unknown
b2272,2386933,2387437,+,yfbM,504,yfbM,Function unknown
b2273,2387709,2388426,-,yfbN,717,yfbN,Function unknown
b2274,2388634,2389057,+,yfbO,423,yfbO,Function unknown
b2275,2389115,2389964,+,yfbP,849,yfbP,Function unknown
b2276,2390047,2391505,-,nuoN,1458,nuoABCEFGHIJKLMN,Energy production and conversion
b2277,2391511,2393041,-,nuoM,1530,nuoABCEFGHIJKLMN,Energy production and conversion
b2278,2393204,2395046,-,nuoL,1842,nuoABCEFGHIJKLMN,Energy production and conversion
b2279,2395042,2395345,-,nuoK,303,nuoABCEFGHIJKLMN,Energy production and conversion
b2280,2395341,2395896,-,nuoJ,555,nuoABCEFGHIJKLMN,Energy production and conversion
b2281,2395907,2396450,-,nuoI,543,nuoABCEFGHIJKLMN,Energy production and conversion
b2282,2396464,2397442,-,nuoH,978,nuoABCEFGHIJKLMN,Energy production and conversion
b2283,2397438,2400165,-,nuoG,2727,nuoABCEFGHIJKLMN,Energy production and conversion
b2284,2400217,2401555,-,nuoF,1338,nuoABCEFGHIJKLMN,Energy production and conversion
b2285,2401551,2402052,-,nuoE,501,nuoABCEFGHIJKLMN,Energy production and conversion
b2286,2402054,2403845,-,nuoC,1791,nuoABCEFGHIJKLMN,Energy production and conversion
b2287,2403950,2404613,-,nuoB,663,nuoABCEFGHIJKLMN,Energy production and conversion
b2288,2404628,2405072,-,nuoA,444,nuoABCEFGHIJKLMN,Energy production and conversion
b2289,2405702,2406641,-,lrhA,939,lrhA,Transcription
b2290,2407560,2408778,+,alaA,1218,alaA-yfbR,Amino acid transport and metabolism
b2291,2408861,2409461,+,yfbR,600,alaA-yfbR,Function unknown
b2292,2409519,2411352,-,yfbS,1833,yfbS,Inorganic ion transport and metabolism
b2293,2411438,2412089,-,yfbT,651,yfbU-hxpA,Function unknown
b2294,2412099,2412594,-,yfbU,495,yfbU-hxpA,Function unknown
b2295,2412676,2413132,-,yfbV,456,yfbV,Function unknown
b2296,2413469,2414672,+,ackA,1203,ackA-pta,Energy production and conversion
b2297,2414746,2416891,+,pta,2145,ackA-pta,Energy production and conversion
b2298,2417080,2418601,+,yfcC,1521,yfcC,Function unknown
b2299,2418633,2419176,-,yfcD,543,yfcD,Function unknown
b2300,2419233,2419788,-,yfcE,555,yfcE,Function unknown
b2301,2419840,2420485,-,yfcF,645,yfcF,"Posttranslational modification, protein turnover, chaperones"
b2302,2420620,2421268,+,yfcG,648,yfcG,"Posttranslational modification, protein turnover, chaperones"
b2303,2421324,2421687,+,folX,363,folX-yfcH,Coenzyme transport and metabolism
b2304,2421707,2422601,+,yfcH,894,folX-yfcH,Function unknown
b2305,2422648,2423539,-,yfcI,891,rpnB,Function unknown
b2306,2423735,2424509,-,hisP,774,argT-hisJQMP,Amino acid transport and metabolism
b2307,2424516,2425233,-,hisM,717,argT-hisJQMP,Amino acid transport and metabolism
b2308,2425229,2425916,-,hisQ,687,argT-hisJQMP,Amino acid transport and metabolism
b2309,2426005,2426788,-,hisJ,783,argT-hisJQMP,Amino acid transport and metabolism
b2310,2427008,2427791,-,argT,783,argT-hisJQMP,Amino acid transport and metabolism
b2311,2428056,2428626,-,ubiX,570,cvpA-purF-ubiX,Coenzyme transport and metabolism
b2312,2428720,2430238,-,purF,1518,cvpA-purF-ubiX,Nucleotide transport and metabolism
b2313,2430274,2430763,-,cvpA,489,cvpA-purF-ubiX,Function unknown
b2314,2431021,2431684,-,dedD,663,folC-dedD,Function unknown
b2315,2431673,2432942,-,folC,1269,folC-dedD,Coenzyme transport and metabolism
b2316,2433011,2433926,-,accD,915,accD,Lipid transport and metabolism
b2317,2434081,2434741,-,dedA,660,pdxB-usg-truA-dedA,Function unknown
b2318,2434823,2435636,-,truA,813,pdxB-usg-truA-dedA,"Translation, ribosomal structure and biogenesis"
b2319,2435635,2436649,-,usg,1014,pdxB-usg-truA-dedA,Amino acid transport and metabolism
b2320,2436714,2437851,-,pdxB,1137,pdxB-usg-truA-dedA,Amino acid transport and metabolism
b2321,2437949,2438945,+,flk,996,flk,Cell motility
b2322,2438941,2440120,-,yfcJ,1179,yfcJ,Carbohydrate transport and metabolism
b2323,2440384,2441605,-,fabB,1221,fabB,Lipid transport and metabolism
b2324,2441763,2443770,+,mnmC,2007,mnmC,Amino acid transport and metabolism
b2325,2443890,2444169,-,yfcL,279,prmB-aroC-mepA-yfcA-epmC-yfcL,Function unknown
b2326,2444202,2444751,-,epmC,549,prmB-aroC-mepA-yfcA-epmC-yfcL,Function unknown
b2327,2444750,2445560,-,yfcA,810,prmB-aroC-mepA-yfcA-epmC-yfcL,Function unknown
b2328,2445559,2446384,-,mepA,825,prmB-aroC-mepA-yfcA-epmC-yfcL,Cell wall/membrane/envelope biogenesis
b2329,2446387,2447473,-,aroC,1086,prmB-aroC-mepA-yfcA-epmC-yfcL,Amino acid transport and metabolism
b2330,2447507,2448440,-,prmB,933,prmB-aroC-mepA-yfcA-epmC-yfcL,"Translation, ribosomal structure and biogenesis"
b2331,2448605,2449157,+,smrB,552,smrB,Function unknown
b2332,2449227,2450049,-,yfcO,822,yfcU_1U_2SRQPO,No COG Annotation
b2333,2450050,2450590,-,yfcP,540,yfcU_1U_2SRQPO,"Intracellular trafficking, secretion, and vesicular transport"
b2334,2450586,2451075,-,yfcQ,489,yfcU_1U_2SRQPO,Function unknown
b2335,2451071,2451584,-,yfcR,513,yfcU_1U_2SRQPO,Function unknown
b2336,2451583,2452336,-,yfcS,753,yfcU_1U_2SRQPO,Cell motility
b4661,2452355,2455001,-,yfcU,2646,yfcU_1U_2SRQPO,No COG Annotation
b2339,2455082,2455646,-,yfcV,564,yfcV,No COG Annotation
b2340,2456326,2456812,-,sixA,486,sixA,Signal transduction mechanisms
b2341,2457014,2459159,-,fadJ,2145,fadIJ,Lipid transport and metabolism
b2342,2459158,2460469,-,fadI,1311,fadIJ,Lipid transport and metabolism
b2343,2460649,2460934,-,yfcZ,285,yfcZ,Function unknown
b2344,2461305,2462646,+,fadL,1341,fadL,Lipid transport and metabolism
b2345,2463011,2464070,+,yfdF,1059,yfdF,No COG Annotation
b2346,2464251,2465007,-,mlaA,756,mlaA,Cell wall/membrane/envelope biogenesis
b2347,2465300,2466233,+,yfdC,933,yfdC,Inorganic ion transport and metabolism
b2349,2466544,2467702,+,intS,1158,intS,"Replication, recombination and repair"
b2350,2467854,2468217,+,gtrA,363,yfdGHI,Function unknown
b2351,2468213,2469134,+,gtrB,921,yfdGHI,Cell wall/membrane/envelope biogenesis
b2352,2469130,2470462,+,gtrS,1332,yfdGHI,No COG Annotation
b2353,2470814,2471105,+,tfaS,291,tfaS,No COG Annotation
b2354,2471076,2471517,-,yfdK,441,yfdONMLK,Function unknown
b2355,2471543,2472122,-,yfdL,579,yfdONMLK,No COG Annotation
b2356,2472117,2472387,-,yfdM,270,yfdONMLK,No COG Annotation
b2357,2472386,2472881,-,yfdN,495,yfdONMLK,No COG Annotation
b2358,2472877,2473585,-,oweS,708,yfdONMLK,No COG Annotation
b2359,2473603,2473966,+,yfdP,363,yfdPQ,No COG Annotation
b2360,2474031,2474856,+,yfdQ,825,yfdPQ,Function unknown
b2361,2474983,2475520,+,yfdR,537,yfdRST,Function unknown
b2362,2475510,2475873,+,yfdS,363,yfdRST,Function unknown
b2363,2475872,2476178,+,yfdT,306,yfdRST,No COG Annotation
b4545,2476180,2476231,+,ypdJ,51,ypdJ,No COG Annotation
b4501,2476309,2476510,+,torI,201,torI,No COG Annotation
b2364,2476693,2477629,-,dsdC,936,dsdC,Transcription
b2365,2477846,2479184,+,dsdX,1338,dsdXA,Amino acid transport and metabolism
b2366,2479201,2480530,+,dsdA,1329,dsdXA,Amino acid transport and metabolism
b2367,2480637,2482176,-,emrY,1539,emrKY,Inorganic ion transport and metabolism
b2368,2482175,2483339,-,emrK,1164,emrKY,Defense mechanisms
b2369,2483754,2484369,+,evgA,615,evgAS,Signal transduction mechanisms
b2370,2484373,2487967,+,evgS,3594,evgAS,Signal transduction mechanisms
b2371,2488022,2489168,-,yfdE,1146,yfdX-frc-oxc-yfdVE,Energy production and conversion
b2372,2489241,2490186,-,yfdV,945,yfdX-frc-oxc-yfdVE,Function unknown
b2373,2490255,2491950,-,oxc,1695,yfdX-frc-oxc-yfdVE,Amino acid transport and metabolism
b2374,2492003,2493254,-,frc,1251,yfdX-frc-oxc-yfdVE,Energy production and conversion
b2375,2493766,2494402,-,yfdX,636,yfdX-frc-oxc-yfdVE,Function unknown
b2376,2494697,2494973,+,ypdI,276,ypdI,No COG Annotation
b2377,2495049,2495292,-,yfdY,243,yfdY,Function unknown
b2378,2495644,2496565,+,lpxP,921,lpxP,Cell wall/membrane/envelope biogenesis
b4680,2496920,2496992,+,ypdK,72,ypdK,No COG Annotation
b2379,2497056,2498295,-,alaC,1239,alaC,Amino acid transport and metabolism
b2380,2498670,2500368,+,ypdA,1698,ypdABC,Signal transduction mechanisms
b2381,2500382,2501117,+,ypdB,735,ypdABC,Signal transduction mechanisms
b2382,2501129,2501987,+,ypdC,858,ypdABC,Transcription
b2383,2501989,2504485,-,fryA,2496,fryBC-ypdFE-fryA,Carbohydrate transport and metabolism
b2384,2504509,2505547,-,ypdE,1038,fryBC-ypdFE-fryA,Amino acid transport and metabolism
b2385,2505546,2506632,-,ypdF,1086,fryBC-ypdFE-fryA,Amino acid transport and metabolism
b2386,2506646,2507894,-,fryC,1248,fryBC-ypdFE-fryA,Carbohydrate transport and metabolism
b2387,2507915,2508242,-,fryB,327,fryBC-ypdFE-fryA,Carbohydrate transport and metabolism
b2388,2508460,2509426,-,glk,966,glk,Carbohydrate transport and metabolism
b2389,2509629,2510886,+,yfeO,1257,yfeO,Inorganic ion transport and metabolism
b2390,2511000,2511327,+,ypeC,327,ypeC,Function unknown
b2392,2511467,2512706,-,mntH,1239,mntH,Inorganic ion transport and metabolism
b2393,2513041,2514244,+,nupC,1203,nupC,Nucleotide transport and metabolism
b2394,2514330,2515443,+,insL1,1113,insL-3,"Replication, recombination and repair"
b2395,2515642,2517832,-,yfeA,2190,pdeA,Signal transduction mechanisms
b2398,2518466,2518811,+,yfeC,345,yfeCD,Transcription
b2399,2518812,2519205,+,yfeD,393,yfeCD,Function unknown
b2400,2519256,2520672,-,gltX,1416,gltX,"Translation, ribosomal structure and biogenesis"
b2405,2521592,2522477,-,xapR,885,xapR,Transcription
b2406,2522728,2523985,-,xapB,1257,xapAB,Carbohydrate transport and metabolism
b2407,2524044,2524878,-,xapA,834,xapAB,Nucleotide transport and metabolism
b2408,2525126,2525891,+,yfeN,765,yfeN,Cell wall/membrane/envelope biogenesis
b2409,2525929,2526856,-,yfeR,927,yfeR,Transcription
b2410,2526945,2527944,+,yfeH,999,yfeH,Function unknown
b4546,2527940,2528159,-,ypeB,219,ligA-ypeB,Function unknown
b2411,2528160,2530176,-,ligA,2016,ligA-ypeB,"Replication, recombination and repair"
b2412,2530246,2531233,-,zipA,987,zipA,"Cell cycle control, cell division, chromosome partitioning"
b2413,2531462,2532224,+,cysZ,762,cysZ,Amino acid transport and metabolism
b2414,2532408,2533380,+,cysK,972,cysK,Amino acid transport and metabolism
b2415,2533763,2534021,+,ptsH,258,ptsHI-crr,Carbohydrate transport and metabolism
b2416,2534065,2535793,+,ptsI,1728,ptsHI-crr,Carbohydrate transport and metabolism
b2417,2535833,2536343,+,crr,510,ptsHI-crr,Carbohydrate transport and metabolism
b2418,2536385,2537237,-,pdxK,852,pdxK,Coenzyme transport and metabolism
b2419,2537341,2537716,+,yfeK,375,yfeKS,Function unknown
b2420,2537748,2538483,+,yfeS,735,yfeKS,Function unknown
b2421,2538671,2539583,-,cysM,912,cysPUWAM,Amino acid transport and metabolism
b2422,2539716,2540814,-,cysA,1098,cysPUWAM,Inorganic ion transport and metabolism
b2423,2540803,2541679,-,cysW,876,cysPUWAM,Inorganic ion transport and metabolism
b2424,2541678,2542512,-,cysU,834,cysPUWAM,Inorganic ion transport and metabolism
b2425,2542511,2543528,-,cysP,1017,cysPUWAM,Inorganic ion transport and metabolism
b2426,2543831,2544623,-,ucpA,792,ucpA,Function unknown
b2427,2544751,2545609,-,murR,858,murR,Transcription
b2428,2545772,2546669,+,murQ,897,murQP-yfeW,Function unknown
b2429,2546672,2548097,+,murP,1425,murQP-yfeW,Carbohydrate transport and metabolism
b2430,2548101,2549406,+,yfeW,1305,murQP-yfeW,Defense mechanisms
b2431,2549645,2550545,-,yfeX,900,yfeYX,Inorganic ion transport and metabolism
b2432,2550640,2551216,-,yfeY,576,yfeYX,Function unknown
b2433,2551276,2551726,-,yfeZ,450,ypeA-yfeZ,Function unknown
b2434,2551712,2552138,-,ypeA,426,ypeA-yfeZ,Function unknown
b2435,2552351,2553221,+,amiA,870,amiA-hemF,Cell wall/membrane/envelope biogenesis
b2436,2553224,2554124,+,hemF,900,amiA-hemF,Coenzyme transport and metabolism
b2437,2554129,2555182,-,eutR,1053,eutBCLKR,Transcription
b2438,2555227,2555728,-,eutK,501,eutBCLKR,Amino acid transport and metabolism
b2439,2555740,2556400,-,eutL,660,eutBCLKR,Amino acid transport and metabolism
b2440,2556409,2557297,-,eutC,888,eutBCLKR,Amino acid transport and metabolism
b2441,2557317,2558679,-,eutB,1362,eutBCLKR,Amino acid transport and metabolism
b2442,2558857,2560066,+,intZ,1209,intZ,"Replication, recombination and repair"
b2443,2560256,2560898,+,yffL,642,yffL,No COG Annotation
b2444,2561367,2561613,+,yffM,246,yffMN,No COG Annotation
b2445,2561624,2561993,+,yffN,369,yffMN,No COG Annotation
b2446,2562110,2562527,+,yffO,417,yffOP,No COG Annotation
b2447,2562523,2563117,+,yffP,594,yffOP,No COG Annotation
b2448,2563591,2563969,+,yffQ,378,yffQR,No COG Annotation
b2449,2563979,2564372,+,yffR,393,yffQR,No COG Annotation
b2450,2564522,2565332,+,yffS,810,yffS,No COG Annotation
b2451,2565480,2566884,-,eutA,1404,eutHA,Amino acid transport and metabolism
b2452,2566880,2568107,-,eutH,1227,eutHA,Amino acid transport and metabolism
b2453,2568323,2569511,-,eutG,1188,eutNEJG,Energy production and conversion
b2454,2569500,2570337,-,eutJ,837,eutNEJG,Amino acid transport and metabolism
b2455,2570347,2571751,-,eutE,1404,eutNEJG,Energy production and conversion
b2456,2571762,2572050,-,eutN,288,eutNEJG,Amino acid transport and metabolism
b2457,2572156,2572450,-,eutM,294,eutSPQTDM,Amino acid transport and metabolism
b2458,2572488,2573505,-,eutD,1017,eutSPQTDM,Energy production and conversion
b2459,2573501,2574305,-,eutT,804,eutSPQTDM,Amino acid transport and metabolism
b2460,2574301,2575003,-,eutQ,702,eutSPQTDM,Amino acid transport and metabolism
b2461,2574977,2575457,-,eutP,480,eutSPQTDM,Amino acid transport and metabolism
b2462,2575469,2575805,-,eutS,336,eutSPQTDM,Amino acid transport and metabolism
b2463,2576097,2578377,-,maeB,2280,maeB,Energy production and conversion
b2464,2578665,2579616,+,talA,951,talA-tktB,Carbohydrate transport and metabolism
b2465,2579635,2581639,+,tktB,2004,talA-tktB,Carbohydrate transport and metabolism
b2466,2581733,2582777,-,ypfG,1044,ypfG,Function unknown
b2467,2582902,2583478,-,nudK,576,nudK,Function unknown
b2468,2583545,2585525,-,aegA,1980,aegA,Amino acid transport and metabolism
b2469,2585730,2587431,+,narQ,1701,narQ,Signal transduction mechanisms
b2470,2587594,2590708,+,acrD,3114,acrD,Inorganic ion transport and metabolism
b4606,2590806,2590866,-,ypfM,60,ypfM,No COG Annotation
b2471,2591246,2591603,+,yffB,357,yffB-dapE-ypfN,Inorganic ion transport and metabolism
b2472,2591606,2592734,+,dapE,1128,yffB-dapE-ypfN,Amino acid transport and metabolism
b4547,2592761,2592962,+,ypfN,201,yffB-dapE-ypfN,Function unknown
b2473,2593071,2593770,-,ypfH,699,ypfH,Function unknown
b2474,2593843,2595859,-,tmcA,2016,ypfJ-tmcA,Function unknown
b2475,2595873,2596737,-,ypfJ,864,ypfJ-tmcA,Function unknown
b2476,2596904,2597618,-,purC,714,purC,Nucleotide transport and metabolism
b2477,2597830,2598865,-,bamC,1035,dapA-bamC,Cell wall/membrane/envelope biogenesis
b2478,2598881,2599760,-,dapA,879,dapA-bamC,Amino acid transport and metabolism
b2479,2599905,2600478,+,gcvR,573,gcvR,Amino acid transport and metabolism
b2480,2600477,2600948,+,bcp,471,bcp,"Posttranslational modification, protein turnover, chaperones"
b2481,2601200,2601818,+,hyfA,618,hyfABCDEFGHIJR-focB,Energy production and conversion
b2482,2601817,2603836,+,hyfB,2019,hyfABCDEFGHIJR-focB,Energy production and conversion
b2483,2603846,2604794,+,hyfC,948,hyfABCDEFGHIJR-focB,Energy production and conversion
b2484,2604810,2606250,+,hyfD,1440,hyfABCDEFGHIJR-focB,Energy production and conversion
b2485,2606261,2606912,+,hyfE,651,hyfABCDEFGHIJR-focB,Energy production and conversion
b2486,2606916,2608497,+,hyfF,1581,hyfABCDEFGHIJR-focB,Energy production and conversion
b2487,2608486,2610154,+,hyfG,1668,hyfABCDEFGHIJR-focB,Energy production and conversion
b2488,2610163,2610709,+,hyfH,546,hyfABCDEFGHIJR-focB,Energy production and conversion
b2489,2610705,2611464,+,hyfI,759,hyfABCDEFGHIJR-focB,Energy production and conversion
b2490,2611456,2611870,+,hyfJ,414,hyfABCDEFGHIJR-focB,"Posttranslational modification, protein turnover, chaperones"
b2491,2611899,2613912,+,hyfR,2013,hyfABCDEFGHIJR-focB,Transcription
b2492,2613933,2614782,+,focB,849,hyfABCDEFGHIJR-focB,Inorganic ion transport and metabolism
b2493,2614819,2615881,-,yfgO,1062,yfgO,Function unknown
b2494,2616093,2617557,+,bepA,1464,bepA-yfgD,"Posttranslational modification, protein turnover, chaperones"
b2495,2617577,2617937,+,yfgD,360,bepA-yfgD,Inorganic ion transport and metabolism
b2496,2618074,2618776,-,hda,702,hda,"Replication, recombination and repair"
b2497,2618870,2620160,-,uraA,1290,upp-uraA,Nucleotide transport and metabolism
b2498,2620245,2620872,-,upp,627,upp-uraA,Nucleotide transport and metabolism
b2499,2621196,2622234,+,purM,1038,purMN,Nucleotide transport and metabolism
b2500,2622233,2622872,+,purN,639,purMN,Nucleotide transport and metabolism
b2501,2623043,2625110,+,ppk,2067,ppk-ppx,Inorganic ion transport and metabolism
b2502,2625114,2626656,+,ppx,1542,ppk-ppx,Nucleotide transport and metabolism
b2503,2626694,2628938,-,yfgF,2244,pdeF,Signal transduction mechanisms
b2504,2629289,2629481,+,yfgG,192,yfgG,Function unknown
b2505,2629791,2630310,+,yfgH,519,yfgHI,Cell wall/membrane/envelope biogenesis
b2506,2630325,2630865,+,yfgI,540,yfgHI,Function unknown
b2507,2630957,2632535,-,guaA,1578,guaBA,Nucleotide transport and metabolism
b2508,2632603,2634070,-,guaB,1467,guaBA,Function unknown
b2509,2634231,2635602,+,xseA,1371,xseA,"Replication, recombination and repair"
b2510,2635598,2635814,-,yfgJ,216,yfgJ,Function unknown
b2511,2635883,2637356,-,der,1473,bamB-der,Function unknown
b2512,2637473,2638652,-,bamB,1179,bamB-der,Function unknown
b2513,2638662,2639283,-,yfgM,621,yfgM,Function unknown
b2514,2639300,2640575,-,hisS,1275,hisS,"Translation, ribosomal structure and biogenesis"
b2515,2640685,2641804,-,ispG,1119,ispG-sroE,Lipid transport and metabolism
b2516,2641830,2642844,-,rodZ,1014,rodZ,Function unknown
b2517,2643128,2644283,-,rlmN,1155,rlmN,"Translation, ribosomal structure and biogenesis"
b2518,2644432,2644864,-,ndk,432,ndk,Nucleotide transport and metabolism
b2519,2645012,2647325,-,pbpC,2313,yfhM-pbpC,Cell wall/membrane/envelope biogenesis
b2520,2647325,2652287,-,yfhM,4962,yfhM-pbpC,Function unknown
b2521,2652493,2653339,+,sseA,846,mstA,Inorganic ion transport and metabolism
b2522,2654156,2654933,-,sseB,777,sseB,Function unknown
b2523,2655074,2656358,-,pepB,1284,pepB,Amino acid transport and metabolism
b2524,2656535,2656736,-,iscX,201,hscBA-fdx-iscX,Function unknown
b2525,2656747,2657083,-,fdx,336,hscBA-fdx-iscX,Energy production and conversion
b2526,2657084,2658935,-,hscA,1851,hscBA-fdx-iscX,"Posttranslational modification, protein turnover, chaperones"
b2527,2658951,2659467,-,hscB,516,hscBA-fdx-iscX,"Posttranslational modification, protein turnover, chaperones"
b2528,2659562,2659886,-,iscA,324,iscRSUA,Function unknown
b2529,2659902,2660289,-,iscU,387,iscRSUA,Energy production and conversion
b2530,2660316,2661531,-,iscS,1215,iscRSUA,No COG Annotation
b2531,2661642,2662131,-,iscR,489,iscRSUA,No COG Annotation
b2532,2662582,2663323,-,trmJ,741,trmJ,"Translation, ribosomal structure and biogenesis"
b2533,2663441,2664245,+,suhB,804,suhB,No COG Annotation
b2534,2664389,2665244,+,yfhR,855,yfhR,Function unknown
b2535,2665434,2666715,+,csiE,1281,csiE,No COG Annotation
b2536,2666706,2667846,-,hcaT,1140,hcaT,No COG Annotation
b2537,2668005,2668896,-,hcaR,891,hcaR,Transcription
b4706,2668005,2668071,-,iroK,66,iroK,No COG Annotation
b2538,2669031,2670393,+,hcaE,1362,hcaEFCBD,Inorganic ion transport and metabolism
b2539,2670389,2670908,+,hcaF,519,hcaEFCBD,No COG Annotation
b2540,2670907,2671228,+,hcaC,321,hcaEFCBD,Energy production and conversion
b2541,2671224,2672037,+,hcaB,813,hcaEFCBD,"Secondary metabolites biosynthesis, transport and catabolism"
b2542,2672046,2673249,+,hcaD,1203,hcaEFCBD,Function unknown
b2543,2673345,2673768,+,yphA,423,yphA,Function unknown
b2544,2673815,2674688,-,yphB,873,yphCB,Carbohydrate transport and metabolism
b2545,2674699,2675761,-,yphC,1062,yphCB,Amino acid transport and metabolism
b2546,2675826,2676825,-,yphD,999,yphFED,Carbohydrate transport and metabolism
b2547,2676849,2678361,-,yphE,1512,yphFED,Inorganic ion transport and metabolism
b2548,2678383,2679367,-,yphF,984,yphFED,Carbohydrate transport and metabolism
b2549,2679463,2682745,-,yphG,3282,yphG,Function unknown
b2550,2682862,2684056,+,yphH,1194,yphH,Carbohydrate transport and metabolism
b2551,2684253,2685507,-,glyA,1254,glyA,Amino acid transport and metabolism
b2552,2685834,2687025,+,hmp,1191,hmp,Energy production and conversion
b2553,2687069,2687408,-,glnB,339,glrR-glnB,Amino acid transport and metabolism
b2554,2687468,2688803,-,glrR,1335,glrR-glnB,Signal transduction mechanisms
b2555,2688792,2689506,-,yfhG,714,qseG,Function unknown
b2556,2689670,2691098,-,glrK,1428,glrK,Signal transduction mechanisms
b2557,2691655,2695543,-,purL,3888,purL,Nucleotide transport and metabolism
b2558,2695800,2697357,+,mltF,1557,mltF,Cell wall/membrane/envelope biogenesis
b2559,2697353,2697857,-,tadA,504,pgpC-tadA,Nucleotide transport and metabolism
b2560,2697914,2698550,-,pgpC,636,pgpC-tadA,Amino acid transport and metabolism
b2561,2698758,2699607,+,yfhH,849,yfhH,Transcription
b2562,2699662,2699923,+,yfhL,261,yfhL,Energy production and conversion
b4687,2700116,2700197,-,shoB,81,shoB,No COG Annotation
b2563,2700617,2700998,-,acpS,381,rnc-era-recO-pdxJ-acpS,Lipid transport and metabolism
b2564,2700997,2701729,-,pdxJ,732,rnc-era-recO-pdxJ-acpS,Coenzyme transport and metabolism
b2565,2701740,2702469,-,recO,729,rnc-era-recO-pdxJ-acpS,"Replication, recombination and repair"
b2566,2702480,2703386,-,era,906,rnc-era-recO-pdxJ-acpS,Function unknown
b2567,2703382,2704063,-,rnc,681,rnc-era-recO-pdxJ-acpS,Transcription
b2568,2704334,2705309,-,lepB,975,lepAB,"Intracellular trafficking, secretion, and vesicular transport"
b2569,2705324,2707124,-,lepA,1800,lepAB,Cell wall/membrane/envelope biogenesis
b2570,2707321,2707801,-,rseC,480,rseD-rpoE-rseABC,Signal transduction mechanisms
b2571,2707797,2708754,-,rseB,957,rseD-rpoE-rseABC,Signal transduction mechanisms
b2572,2708753,2709404,-,rseA,651,rseD-rpoE-rseABC,Signal transduction mechanisms
